strategy,topic_500,count
S2,-1,4967
S1,-1,4667
S1,3,3391
S3,-1,3375
S4,-1,3180
S1,0,2437
S2,0,2190
S1,6,1845
S1,9,1730
S2,9,1344
S2,12,1245
S2,3,1225
S2,1,1177
S4,1,1155
S3,4,1074
S1,10,1072
S4,2,1042
S3,1,1019
S2,5,1010
S4,4,1007
S2,10,997
S1,1,935
S1,16,884
S4,7,873
S4,5,855
S3,2,851
S3,8,814
S2,16,807
S4,0,782
S2,15,761
S1,12,756
S3,5,737
S2,6,705
S3,0,694
S1,15,692
S3,7,691
S4,11,688
S1,18,680
S2,21,664
S2,2,637
S1,5,619
S4,13,530
S3,11,514
S2,18,512
S1,14,507
S3,13,472
S4,8,462
S2,11,446
S1,2,430
S3,19,428
S4,9,423
S3,9,404
S4,19,402
S2,14,399
S2,20,367
S2,7,365
S4,10,348
S4,17,347
S2,13,341
S2,17,327
S4,16,326
S3,10,324
S1,22,323
S3,12,307
S4,14,304
S1,11,286
S4,15,281
S1,21,277
S1,17,274
S3,23,271
S2,8,271
S4,12,261
S3,14,252
S3,17,245
S3,15,241
S4,21,240
S3,16,231
S2,4,217
S3,20,216
S4,20,208
S3,3,207
S4,3,204
S3,21,203
S2,23,195
S4,6,195
S1,20,186
S2,22,186
S3,6,186
S1,7,176
S1,8,168
S2,19,158
S4,23,147
S4,18,140
S1,13,136
S1,23,105
S3,18,105
S1,4,103
S3,22,61
S1,19,41
S4,22,41
